userID,unique_user_id,email,hashedPassword,salt,firstName,lastName,accountCreationDate,verified,currentDepartment,groupID
0,0,user0@testemail.com,password0,salt0,firstname0,lastname0,0/1/2022,True,1,0
1,1,user1@testemail.com,password1,salt1,firstname1,lastname1,1/1/2022,True,2,1
2,2,user2@testemail.com,password2,salt2,firstname2,lastname2,2/1/2022,True,3,2
3,3,user3@testemail.com,password3,salt3,firstname3,lastname3,3/1/2022,True,4,3
4,4,user4@testemail.com,password4,salt4,firstname4,lastname4,4/1/2022,True,5,4
5,5,user5@testemail.com,password5,salt5,firstname5,lastname5,5/1/2022,True,6,5
6,6,user6@testemail.com,password6,salt6,firstname6,lastname6,6/1/2022,True,7,6
7,7,user7@testemail.com,password7,salt7,firstname7,lastname7,7/1/2022,True,8,7
8,8,user8@testemail.com,password8,salt8,firstname8,lastname8,8/1/2022,True,9,8
9,9,user9@testemail.com,password9,salt9,firstname9,lastname9,9/1/2022,True,10,9
10,10,user10@testemail.com,password10,salt10,firstname10,lastname10,10/1/2022,True,1,10
11,11,user11@testemail.com,password11,salt11,firstname11,lastname11,11/1/2022,True,2,11
12,12,user12@testemail.com,password12,salt12,firstname12,lastname12,12/1/2022,True,3,12
13,13,user13@testemail.com,password13,salt13,firstname13,lastname13,13/1/2022,True,4,13
14,14,user14@testemail.com,password14,salt14,firstname14,lastname14,14/1/2022,True,5,14
15,15,user15@testemail.com,password15,salt15,firstname15,lastname15,15/1/2022,True,6,15
16,16,user16@testemail.com,password16,salt16,firstname16,lastname16,16/1/2022,True,7,16
17,17,user17@testemail.com,password17,salt17,firstname17,lastname17,17/1/2022,True,8,17
18,18,user18@testemail.com,password18,salt18,firstname18,lastname18,18/1/2022,True,9,18
19,19,user19@testemail.com,password19,salt19,firstname19,lastname19,19/1/2022,True,10,19
20,20,user20@testemail.com,password20,salt20,firstname20,lastname20,20/1/2022,True,1,0
21,21,user21@testemail.com,password21,salt21,firstname21,lastname21,21/1/2022,True,2,1
22,22,user22@testemail.com,password22,salt22,firstname22,lastname22,22/1/2022,True,3,2
23,23,user23@testemail.com,password23,salt23,firstname23,lastname23,23/1/2022,True,4,3
24,24,user24@testemail.com,password24,salt24,firstname24,lastname24,24/1/2022,True,5,4
25,25,user25@testemail.com,password25,salt25,firstname25,lastname25,25/1/2022,True,6,5
26,26,user26@testemail.com,password26,salt26,firstname26,lastname26,26/1/2022,True,7,6
27,27,user27@testemail.com,password27,salt27,firstname27,lastname27,27/1/2022,True,8,7
28,28,user28@testemail.com,password28,salt28,firstname28,lastname28,28/1/2022,True,9,8
29,29,user29@testemail.com,password29,salt29,firstname29,lastname29,29/1/2022,True,10,9
30,30,user30@testemail.com,password30,salt30,firstname30,lastname30,0/1/2022,True,1,10
31,31,user31@testemail.com,password31,salt31,firstname31,lastname31,1/1/2022,True,2,11
32,32,user32@testemail.com,password32,salt32,firstname32,lastname32,2/1/2022,True,3,12
33,33,user33@testemail.com,password33,salt33,firstname33,lastname33,3/1/2022,True,4,13
34,34,user34@testemail.com,password34,salt34,firstname34,lastname34,4/1/2022,True,5,14
35,35,user35@testemail.com,password35,salt35,firstname35,lastname35,5/1/2022,True,6,15
36,36,user36@testemail.com,password36,salt36,firstname36,lastname36,6/1/2022,True,7,16
37,37,user37@testemail.com,password37,salt37,firstname37,lastname37,7/1/2022,True,8,17
38,38,user38@testemail.com,password38,salt38,firstname38,lastname38,8/1/2022,True,9,18
39,39,user39@testemail.com,password39,salt39,firstname39,lastname39,9/1/2022,True,10,19
40,40,user40@testemail.com,password40,salt40,firstname40,lastname40,10/1/2022,True,1,0
41,41,user41@testemail.com,password41,salt41,firstname41,lastname41,11/1/2022,True,2,1
42,42,user42@testemail.com,password42,salt42,firstname42,lastname42,12/1/2022,True,3,2
43,43,user43@testemail.com,password43,salt43,firstname43,lastname43,13/1/2022,True,4,3
44,44,user44@testemail.com,password44,salt44,firstname44,lastname44,14/1/2022,True,5,4
45,45,user45@testemail.com,password45,salt45,firstname45,lastname45,15/1/2022,True,6,5
46,46,user46@testemail.com,password46,salt46,firstname46,lastname46,16/1/2022,True,7,6
47,47,user47@testemail.com,password47,salt47,firstname47,lastname47,17/1/2022,True,8,7
48,48,user48@testemail.com,password48,salt48,firstname48,lastname48,18/1/2022,True,9,8
49,49,user49@testemail.com,password49,salt49,firstname49,lastname49,19/1/2022,True,10,9
50,50,user50@testemail.com,password50,salt50,firstname50,lastname50,20/1/2022,True,1,10
51,51,user51@testemail.com,password51,salt51,firstname51,lastname51,21/1/2022,True,2,11
52,52,user52@testemail.com,password52,salt52,firstname52,lastname52,22/1/2022,True,3,12
53,53,user53@testemail.com,password53,salt53,firstname53,lastname53,23/1/2022,True,4,13
54,54,user54@testemail.com,password54,salt54,firstname54,lastname54,24/1/2022,True,5,14
55,55,user55@testemail.com,password55,salt55,firstname55,lastname55,25/1/2022,True,6,15
56,56,user56@testemail.com,password56,salt56,firstname56,lastname56,26/1/2022,True,7,16
57,57,user57@testemail.com,password57,salt57,firstname57,lastname57,27/1/2022,True,8,17
